company_name_normalized;nb_occ
MINISTERE DE L'INTERIEUR;1832
MINISTERE DE L'ACTION ET DES COMPTES PUBLICS;1805
MINISTERE DE L'ECONOMIE ET DES FINANCES;559
PREFECTURE DE POLICE;550
DIRECTION DU CONTROLE FISCAL SUD EST;539
DIRECTION DE CONTROLE FISCAL DE RHONE ALPES BOURGOGNE;538
MINISTERE DES ARMEES;465
PREFECTURE DU RHONE ETRANGERS;436
MINISTERE DE LA TRANSITION ECOLOGIQUE ET SOLIDAIRE;414
PREFECTURE DES BOUCHES DU RHONE CE;362
DIRECTION DE CONTROLE FISCAL EST;321
PREFECTURE DE L'ESSONNE;318
MINISTERE DU TRAVAIL;314
PREFECTURE DE L'HERAULT CE;302
DIRECTION DE CONTROLE FISCAL SUD OUEST;288
MINISTERE DE LA JUSTICE;280
PREFECTURE DE LA HAUTE GARONNE CONTENTIEUX DES ETRANGERS;264
MINISTERE DES SOLIDARITES ET DE LA SANTE;226
MINISTERE DE L'ACTION ET DES COMPTES PUBLICS DRFIP D'ILE DE FRANCE ET DE PARIS;223
PREFECTURE DES ALPES MARITIMES CE;221
MINISTERE DE L'EDUCATION NATIONALE;208
GOUVERNEMENT DE LA POLYNESIE FRANCAISE;201
PREMIER MINISTRE;195
PREFECTURE DE L'ISERE TR;189
PREFECTURE REGION NOUVELLE AQUITAINE, PREFECTURE ZONE DE DEFENSE ET SECURITE SUD OUEST;188
PREFECTURE DE LA SEINE MARITIME;183
PREFECTURE DU PAS DE CALAIS DIRECTION DE LA REGLEMENTATION;182
PREFECTURE DE SEINE SAINT DENIS;172
PREFECTURE DE MEURTHE ET MOSELLE;171
PREFECTURE DU VAL D'OISE;170
MINISTERE DE L'AGRICULTURE ET DE L'ALIMENTATION;168
PREFECTURE DU NORD;166
MINISTERE DE L'INTERIEUR DLPAJ SDCJC;148
PREFECTURE DES HAUTS DE SEINE;144
PREFECTURE DE LA HAUTE VIENNE;138
PREFECTURE DE L'OISE;132
PREFECTURE DU DOUBS;127
OFFICE NATIONAL D'INDEMNISATION DES ACCIDENTS MEDICAUX;125
NGOMPIRI BENE;124
MINISTERE DE LA DEFENSE;122
MINISTERE DE LA COHESION DES TERRITOIRES;114
MINISTERE DE L'ENVIRONNEMENT, DE L'ENERGIE ET DE LA MER;113
OFFICE FRANCAIS DE L'IMMIGRATION ET DE L'INTEGRATION;113
PREFECTURE DE LA SOMME;112
PREFECTURE DE LA MOSELLE;107
PREFECTURE DE LA REGION GRAND EST;105
PREFECTURE DU VAL DE MARNE;104
PREFECTURE DE LA VIENNE CONTENTIEUX DES ETRANGERS;102
PREFECTURE DE LA HAUTE SAVOIE TR;98
VILLE DE PARIS;98
MINISTERE DU LOGEMENT ET DE L'HABITAT DURABLE;90
PREFECTURE DES YVELINES;87
GARDE DES SCEAUX MINISTERE DE LA JUSTICE;81
PREFECTURE DE SEINE ET MARNE;78
PREFECTURE DU HAUT RHIN;76
PREFECTURE DE LA GIRONDE;69
PREFECTURE DES BOUCHES DU RHONE;67
MINISTERE DE L' AGRICULTURE ET DE L'ALIMENTATION;65
PREFECTURE DE LA MARNE;64
MINISTERE DE L'EDUCATION NATIONALE, DE L'ENSEIGNEMENT SUPERIEUR ET DE LA RECHERCHE;63
MINISTERE DE L'ECONOMIE ET DES FINANCES DRFIP D'ILE DE FRANCE ET DE PARIS;63
DIALLO;61
PREFECTURE DU GARD CE;61
CENTRE HOSPITALIER UNIVERSITAIRE DE BORDEAUX;59
ASSISTANCE PUBLIQUE HOPITAUX DE PARIS;57
OFFICE FRANCAIS DE PROTECTION DES REFUGIES ET APATRIDES;56
PREFECTURE DE LA DROME ETR;56
PREFECTURE DE L'EURE;53
GOUVERNEMENT DE LA NOUVELLE CALEDONIE;52
PREFECTURE DES PYRENEES ORIENTALES CE;52
PREFECTURE D'ILLE ET VILAINE;51
PREFECTURE DE MAINE ET LOIRE;50
PREFECTURE DU VAR CE;50
COMITE D'INDEMNISATION DES VICTIMES DES ESSAIS NUCLEAIRES;50
MINISTERE DE L'ECONOMIE ET DES FINANCES DGFIP;49
PREFECTURE DE L'AUBE;49
PREFECTURE DE LA COTE D'OR TR;49
PREFECTURE DE LA LOIRE TR;48
MINISTRE DE L'ACTION ET DES COMPTES PUBLICS DIRECTION DES GRANDES ENTREPRISES;47
MINISTERE DE LA CULTURE;47
PREFECTURE DE L'YONNE ETRANGERS TR;46
MINISTERE DE L'ACTION ET DES COMPTES PUBLICS DVNI DIVISION DU CONTENTIEUX;44
COMMISSION NATIONALE D'AMENAGEMENT COMMERCIAL;44
PREFECTURE DU PUY DE DOME TR;43
MINISTERE DE L'ECONOMIE;41
FOFANA;41
MINISTERE DU TRAVAIL, EMPLOI, FORMATION PROFESSIONNELLE ET DIALOGUE SOCIAL;40
MINISTERE DES FINANCES ET DES COMPTES PUBLICS;39
MINISTERE DE L'ACTION ET DES COMPTES PUBLICS DIRCOFI IDF OUEST;39
DIABY;38
CAMARA;36
LA POSTE;36
PREFECTURE DE LA DORDOGNE;36
PREFECTURE DE VAUCLUSE CE;35
CONSEIL NATIONAL DE L'ORDRE DES MEDECINS;35
ASSISTANCE PUBLIQUE HOPITAUX DE MARSEILLE;34
MARTIN;34
MINISTERE DE L'AGRICULTURE, DE L'AGROALIMENTAIRE ET DE LA FORET;34
MINISTERE DES OUTRE MER;34
PREFECTURE DU BAS RHIN;33
MINISTERE DE L'ENSEIGNEMENT SUPERIEUR, DE LA RECHERCHE;33
PREFECTURE DU LOIRET;32
MIN DE L'INTERIEUR DE L'OUTRE MER DES COLL TERRIT ET DE L'IMMIGRATION;32
PREFECTURE DES HAUTES PYRENEES;31
VILLE DE PARIS/RH;30
SOCIETE ORANGE;30
PREFECTURE DE L'ALLIER TR;29
PREFECTURE DE LA GUADELOUPE;29
MINISTERE DES AFFAIRES SOCIALES ET DE LA SANTE;29
PREFECTURE DES HAUTES ALPES;29
PREFECTURE DU TARN;29
PREFECTURE DE LA REGION BOURGOGNE ET FRANCHE COMTE;28
PREFECTURE DE L'AIN ETRANGERS TR;28
DRAME;27
CISSE;27
SNCF RESEAU;27
METROPOLE DE LYON;26
CAISSE DES DEPOTS ET CONSIGNATIONS;26
DEPARTEMENT DES BOUCHES DU RHONE;26
GARDE DES SCEAUX, MINISTERE DE LA JUSTICE;25
PREFECTURE DE LA SAONE ET LOIRE TR;25
TOURE;24
PREFECTURE DE LA SAVOIE ETRANGERS TR;24
BAH;24
METROPOLE AIX MARSEILLE PROVENCE;23
AEROPORTS DE PARIS;23
PREFECTURE DE L'AUDE;23
BARRY;23
DIRECTION REGIONALE DES FINANCES PUBLIQUES;23
PREFECTURE DE L'INDRE;23
COMMUNE DE MARSEILLE;22
MINISTERE DE L'ENSEIGNEMENT SUPERIEUR, DE LA RECHERCHE ET DE L'INNOVATION;22
TRAORE;22
PREFECTURE DE LA GUYANE;22
PREFECTURE DE L'HERAULT;22
PREFECTURE DU CALVADOS;22
MINISTRE DE LA COHESION DES TERRITOIRES;21
PREFECTURE DE MAYOTTE ETRANGER;21
PREFECTURE DES VOSGES;21
COULIBALY;21
MINISTERE DE L'INTERIEUR DLPAJ S/D CJC BUREAU CPA;20
PREFECTURE DES PYRENEES ATLANTIQUES;20
LA POSTE DIRECTION JURIDIQUE ET DE LA CONFORMITE DU GROUPE;20
PREFECTURE DU FINISTERE;20
ALI;20
MINISTERE DES SPORTS;20
PREFECTURE DE LA CHARENTE MARITIME;20
COMMISSION NATIONALE DE L'INFORMATIQUE ET DES LIBERTES;20
MINISTERE DE L'ACTION ET DES COMPTES PUBLICS (DGFIP);19
OFFICE NATIONAL D'INDEMNISATION DES ACCIDENTS MEDICAUX DES AFFECTIONS IATROGENES;19
PREFECTURE DES ALPES MARITIMES;19
PREFECTURE DU GERS;19
FONDATION JEROME LEJEUNE;19
COMMUNE DE CANNES;19
AGENCE DE LA BIOMEDECINE;19
MINISTERE DE L'ECONOMIE ET DES FINANCES COMMISSION NATIONALE;19
PREFECTURE DES DEUX SEVRES;19
PREFECTURE DE L'ARIEGE;19
ETABLISSEMENT FRANCAIS DU SANG;18
CONSEIL DEPARTEMENTAL DE SEINE ST DENIS;18
PREFECTURE D'INDRE ET LOIRE;18
GASHI;18
CONSEIL NATIONAL DES ACTIVITES PRIVEES DE SECURITE;17
PREFET DE POLICE;17
MINISTRE DE L'ACTION ET DES COMPTES PUBLICS;17
SYLLA;17
HADDAD;17
PALUT;17
BANGOURA;17
ADAM;17
CONSEIL NATIONAL DES BARREAUX;17
SOCIETE LINPAC PACKAGING PROVENCE SAS;17
PREFECTURE DE L'AIN TR;17
GARCIA;17
MARTINEZ;17
BERNARD;16
OFFICE NATIONAL DES ANCIENS COMBATTANTS ET VICTIMES DE GUERRE;16
THOMAS;16
MONTPELLIER MEDITERRANEE METROPOLE;16
MARRIOTT REWARDS LLC;16
BORDEAUX METROPOLE;16
