Code_commune_INSEE;Nom_commune;Code_postal;Prefix_codpos;Libelle_acheminement;Libelle_acheminement_len;Ligne_5;coordonnees_gps
12157;MONTROZIER;12630;12;MONTROZIER;10;;44.3813386273, 2.71254776972
12166;MUROLS;12600;12;MUROLS;6;;44.8341310228, 2.67664580865
12176;ONET LE CHATEAU;12850;12;ONET LE CHATEAU;15;QUATRE SAISONS;44.3602453055, 2.59175422847
12177;PALMAS D AVEYRON;12340;12;PALMAS D AVEYRON;16;CRUEJOULS;44.4656002773, 2.70710459278
12178;PAULHE;12520;12;PAULHE;6;;44.1968259654, 3.06387030498
12182;PIERREFICHE;12130;12;PIERREFICHE;11;;44.4625155533, 2.98303027843
12191;PRIVEZAC;12350;12;PRIVEZAC;8;;44.4010803949, 2.15854701364
12194;QUINS;12800;12;QUINS;5;LA MOTHE;44.1851158215, 2.33730989448
12199;RIGNAC;12390;12;RIGNAC;6;;44.4348428997, 2.31749695196
12207;RULLAC ST CIRQ;12120;12;RULLAC ST CIRQ;14;;44.1738899788, 2.54748951823
12212;ST BEAULIZE;12540;12;ST BEAULIZE;11;;43.8787455208, 3.14987374669
12219;STE EULALIE D OLT;12130;12;STE EULALIE D OLT;17;;44.4625155533, 2.98303027843
12220;STE EULALIE DE CERNON;12230;12;STE EULALIE DE CERNON;21;;43.9902158825, 3.26114811927
12223;ARGENCES EN AUBRAC;12210;12;ARGENCES EN AUBRAC;18;ALPUECH;44.6915069372, 2.81638954446
12225;ST GEORGES DE LUZENCON;12100;12;ST GEORGES DE LUZENCON;22;;44.0898281066, 3.10621950967
12226;ST HIPPOLYTE;12140;12;ST HIPPOLYTE;12;;44.6558037135, 2.58164635516
12227;ST IGEST;12260;12;ST IGEST;8;;44.458873555, 1.98297177766
12230;ST JEAN DELNOUS;12170;12;ST JEAN DELNOUS;15;;44.0745006665, 2.51889903328
12235;ST JUST SUR VIAUR;12170;12;ST JUST SUR VIAUR;17;;44.0745006665, 2.51889903328
12236;ST LAURENT DE LEVEZOU;12620;12;ST LAURENT DE LEVEZOU;21;;44.1639182272, 2.94123371794
12240;ST PARTHEM;12300;12;ST PARTHEM;10;;44.5947922935, 2.27515362111
12254;SALLES LA SOURCE;12330;12;SALLES LA SOURCE;16;;44.4669223048, 2.48171518474
12264;SEBAZAC CONCOURES;12740;12;SEBAZAC CONCOURES;17;;44.4071370966, 2.63127194747
12265;SEBRAZAC;12190;12;SEBRAZAC;8;;44.5757488453, 2.68710158175
12277;TAUSSAC;12600;12;TAUSSAC;7;;44.8341310228, 2.67664580865
12278;TAYRAC;12440;12;TAYRAC;6;;44.2188237556, 2.19456712254
12291;VERRIERES;12520;12;VERRIERES;9;;44.1968259654, 3.06387030498
12293;VEYREAU;12720;12;VEYREAU;7;;44.1809861731, 3.25262326426
12295;VIALA DU PAS DE JAUX;12250;12;VIALA DU PAS DE JAUX;20;;43.948416094, 3.02271239908
12303;VIMENET;12310;12;VIMENET;7;;44.384469335, 2.84476302604
13001;AIX EN PROVENCE;13540;13;AIX EN PROVENCE;15;PUYRICARD;43.5360221556, 5.3983786513
13004;ARLES;13129;13;ARLES;5;SALIN DE GIRAUD;43.5467808819, 4.66183385891
13004;ARLES;13280;13;ARLES;5;MOULES;43.5467808819, 4.66183385891
13010;BARBENTANE;13570;13;BARBENTANE;10;;43.8946430262, 4.749492461
13014;BERRE L ETANG;13130;13;BERRE L ETANG;13;;43.5038264894, 5.16082559313
13015;BOUC BEL AIR;13320;13;BOUC BEL AIR;12;;43.44709567, 5.41278086105
13018;CABANNES;13440;13;CABANNES;8;;43.8590936432, 4.95774539793
13023;CEYRESTE;13600;13;CEYRESTE;8;;43.2057739447, 5.6225082578
13033;ENSUES LA REDONNE;13820;13;ENSUES LA REDONNE;17;;43.3537890025, 5.19969508788
13035;EYGUIERES;13430;13;EYGUIERES;9;;43.7025400757, 5.01572210445
13036;EYRAGUES;13630;13;EYRAGUES;8;;43.8430965536, 4.84389669406
13041;GARDANNE;13120;13;GARDANNE;8;BIVER;43.4527470657, 5.47999296124
13042;GEMENOS;13420;13;GEMENOS;7;;43.2982409252, 5.64453739923
13043;GIGNAC LA NERTHE;13180;13;GIGNAC LA NERTHE;16;;43.390482869, 5.22788588973
13045;GRAVESON;13690;13;GRAVESON;8;;43.8539709841, 4.76690510609
13046;GREASQUE;13850;13;GREASQUE;8;;43.4267657218, 5.54724216538
13061;ST PIERRE DE MEZOARGUES;13150;13;ST PIERRE DE MEZOARGUES;23;;43.811635575, 4.68697564727
13062;MIMET;13105;13;MIMET;5;;43.4125486694, 5.49850212317
13072;PEYNIER;13790;13;PEYNIER;7;;43.466397869, 5.61228660864
13078;PORT ST LOUIS DU RHONE;13230;13;PORT ST LOUIS DU RHONE;22;;43.4159102575, 4.80600123608
13084;LA ROQUE D ANTHERON;13640;13;LA ROQUE D ANTHERON;19;;43.717611873, 5.3021029918
13085;ROQUEFORT LA BEDOULE;13830;13;ROQUEFORT LA BEDOULE;20;;43.2511968677, 5.62904629531
13088;LE ROVE;13740;13;LE ROVE;7;LE DOUARD;43.3653006845, 5.25320648556
13097;ST MARTIN DE CRAU;13310;13;ST MARTIN DE CRAU;17;;43.6121626168, 4.85649120656
13104;SAUSSET LES PINS;13960;13;SAUSSET LES PINS;16;;43.3457310767, 5.11745553052
13107;SIMIANE COLLONGUE;13109;13;SIMIANE COLLONGUE;17;;43.4114697377, 5.43791091838
13110;TRETS;13530;13;TRETS;5;;43.4378404321, 5.70012599644
13110;TRETS;13530;13;TRETS;5;CADENET;43.4378404321, 5.70012599644
13202;MARSEILLE 02;13002;13;MARSEILLE;9;;43.3127325556, 5.36355601234
13205;MARSEILLE 05;13005;13;MARSEILLE;9;;43.2924809562, 5.39796837854
13209;MARSEILLE 09;13009;13;MARSEILLE;9;LES BAUMETTES;43.2344717573, 5.45254070973
13211;MARSEILLE 11;13011;13;MARSEILLE;9;LA VALENTINE;43.2885052354, 5.4838251453
13212;MARSEILLE 12;13012;13;MARSEILLE;9;;43.3077980395, 5.43935485792
13213;MARSEILLE 13;13013;13;MARSEILLE;9;;43.3495227907, 5.43359654239
14005;AIRAN;14370;14;AIRAN;5;;49.1190784398, -0.159512854419
14006;AMAYE SUR ORNE;14210;14;AMAYE SUR ORNE;14;;49.1001637748, -0.508327897598
14016;ANNEBAULT;14430;14;ANNEBAULT;9;;49.2183532057, -0.0305664652154
14031;LES AUTHIEUX PAPION;14140;14;LES AUTHIEUX PAPION;19;;49.0354632921, 0.127071984738
14034;AVENAY;14210;14;AVENAY;6;;49.1001637748, -0.508327897598
14036;BANNEVILLE LA CAMPAGNE;14940;14;BANNEVILLE LA CAMPAGNE;22;;49.1833480619, -0.224513518796
14044;BASLY;14610;14;BASLY;5;;49.2527836333, -0.426386244935
14045;BASSENEVILLE;14670;14;BASSENEVILLE;12;;49.1818769935, -0.152819265624
14047;BAYEUX;14400;14;BAYEUX;6;;49.2815631038, -0.715433077365
14054;BEAUMESNIL;14380;14;BEAUMESNIL;10;;48.8544817922, -1.0273831979
14055;BEAUMONT EN AUGE;14950;14;BEAUMONT EN AUGE;16;;49.2830960197, 0.0921245287823
14057;BELLENGREVILLE;14370;14;BELLENGREVILLE;14;;49.1190784398, -0.159512854419
14061;SOULEUVRE EN BOCAGE;14350;14;SOULEUVRE EN BOCAGE;19;BURES LES MONTS;48.9220153608, -0.733098585986
14061;SOULEUVRE EN BOCAGE;14350;14;SOULEUVRE EN BOCAGE;19;ST OUEN DES BESACES;48.9220153608, -0.733098585986
14061;SOULEUVRE EN BOCAGE;14350;14;SOULEUVRE EN BOCAGE;19;STE MARIE LAUMONT;48.9220153608, -0.733098585986
14073;LA BIGNE;14260;14;LA BIGNE;8;;49.0066968594, -0.682033937829
14081;BOISSEY;14170;14;BOISSEY;7;;48.9808309881, -0.0400174122505
14093;BRANVILLE;14430;14;BRANVILLE;9;;49.2183532057, -0.0305664652154
14124;LA CAMBE;14230;14;LA CAMBE;8;;49.3176758888, -1.05497360925
14125;CAMBES EN PLAINE;14610;14;CAMBES EN PLAINE;16;;49.2527836333, -0.426386244935
14126;CAMBREMER;14340;14;CAMBREMER;9;ST AUBIN SUR ALGOT;49.1715682628, 0.0767124030123
11432;VILLENEUVE LES MONTREAL;11290;11;VILLENEUVE LES MONTREAL;23;;43.1943746552, 2.18782678941
11434;VILLEPINTE;11150;11;VILLEPINTE;10;;43.2498711617, 2.06462165287
12002;AGUESSAC;12520;12;AGUESSAC;8;;44.1968259654, 3.06387030498
12018;BALAGUIER D OLT;12260;12;BALAGUIER D OLT;15;;44.458873555, 1.98297177766
12029;BOR ET BAR;12270;12;BOR ET BAR;10;;44.2133464767, 2.02193088766
12036;BROMMAT;12600;12;BROMMAT;7;;44.8341310228, 2.67664580865
12037;BROQUIES;12480;12;BROQUIES;8;;43.9974313835, 2.69341373502
12043;CALMONT;12450;12;CALMONT;7;CEIGNAC;44.2840952345, 2.5725628832
12053;LA CAPELLE BALAGUIER;12260;12;LA CAPELLE BALAGUIER;20;;44.458873555, 1.98297177766
12076;CONQUES EN ROUERGUE;12320;12;CONQUES EN ROUERGUE;19;ST CYPRIEN SUR DOURDOU;44.5837975359, 2.46440638377
12084;CREISSELS;12100;12;CREISSELS;9;;44.0898281066, 3.10621950967
12094;ENTRAYGUES SUR TRUYERE;12140;12;ENTRAYGUES SUR TRUYERE;22;;44.6558037135, 2.58164635516
12108;GALGAN;12220;12;GALGAN;6;;44.4874742078, 2.20156153334
12109;GISSAC;12360;12;GISSAC;6;;43.7904240706, 2.95795996186
12145;MILLAU;12100;12;MILLAU;6;;44.0898281066, 3.10621950967
65107;BOURREAC;65100;65;BOURREAC;8;;43.0733136747, -0.0281562446131
65111;BULAN;65130;65;BULAN;5;;43.0681030312, 0.291772301589
65123;CAMPAN;65710;65;CAMPAN;6;ARTIGUES CAMPAN;42.9707906298, 0.166937174771
