known_companies;known_companies_len
COMMUNE;7
PREFECTURE;10
MINISTERE;9
SYNDICAT;8
3 SUISSES;9
ADAR;4
ADECCO;6
ADIA;4
ADOMA;5
AEROPASS;8
AGF;3
AIG;3
AIR France;10
AIRBUS;6
ALDI;4
ALLIANZ;7
ALSTOM;6
ALTRAN;6
APPLE;5
ARCELORMITTAL;13
AREAS;5
ARKEA;5
ARKEMA;6
ASTRIA;6
ATAC;4
ATRADIUS;8
AVIVA;5
AXA;3
BANQUE PALATINE;15
BANQUE POPULAIRE;16
BARCLAYS;8
BASF;4
BCG;3
BFM;3
BIGARD;6
BMW;3
BNP;3
BOULANGER;9
BOURSORAMA;10
BOUYGUES BATIMENT;17
BOUYGUES IMMOBILIER;19
BOUYGUES TELECOM;16
BPCE;4
BPI;3
BRICORAMA;9
BUFFALO GRILL;13
BUREAU VERITAS;14
C&A;3
CAISSE D'EPARGNE;16
CAMAIEU;7
CAMIF;5
CARDIF;6
CARREFOUR;9
CASINO;6
CASTORAMA;9
CATERPILLAR;11
CELIO;5
CETELEM;7
CFDT;4
CGT;3
CFTC;4
CHALLANCIN;10
CHANNEL;7
CHRONOPOST;10
CIC;3
CNN;3
CNP;3
CNRS;4
COFIDIS;7
COMILOG;7
CORA;4
COVEA;5
CPAM;4
CREDIPAR;8
CREDIT AGRICOLE;15
CREDIT AGRICOLE MUTUEL;22
CREDIT DU NORD;14
CREDIT LYONNAIS;15
CREDIT MUTUEL;13
CRIT;4
CSF;3
DAMMANN FRERES;14
DECATHLON;9
DIA;3
DIM;3
DIRECT ENERGIE;14
DOMOFRANCE;10
DUNLOP;6
EDF;3
EIFFAGE;7
ELAN;4
ELECTRICITE DE FRANCE;21
ELIOR;5
ENEDIS;6
ENGIE;5
EON;3
FAYAT;5
FEU VERT;8
FIAT;4
FIDAL;5
FIDEM;5
FINANCO;7
FLUNCH;6
FORD;4
FRANCE TELECOM;14
FREE;4
GAN;3
GAS;3
GDF;3
GECINA;6
GENERALI;8
GMF;3
GOOGLE;6
GPW;3
GRDF;4
GROUPAMA;8
H&M;3
HEINEKEN;8
HEMA;4
HERAKLES;8
HERTZ;5
HLM;3
HSBC;4
HYPER U;7
IBM;3
ICADE;5
IKEA;4
INTERFIMO;9
IVECO;5
JENNYFER;8
JURICA;6
KEOLIS;6
KFC;3
KILOUTOU;8
KODAK;5
KPMG;4
L'OREAL;7
LA FRANCAISE DES JEUX;21
LA MONDIALE;11
LA POSTE;8
LA REDOUTE;10
LABORATOIRES SERVIER;20
LCL;3
LECLERC;7
LEE COOPER;10
LEROUX;6
LEROY MERLIN;12
LIDL;4
LLOYD'S;7
LOXAM;5
LUSTUCRU;8
MAAF;4
MAIF;4
MANPOWER;8
MARIONNAUD;10
MARSH;5
MATMUT;6
MEDIATIS;8
MERCEDES BENZ;13
METALEUROP;10
MICROSOFT;9
MMA;3
MONABANQ;8
MONOPRIX;8
MSA;3
NATIXIS;7
NEOLIA;6
NESTLE;6
NEUFLIZE;8
NEXITY;6
NT1;3
NUMERICABLE;11
OGF;3
ORANGE;6
PACIFICA;8
PAUL;4
PEUGEOT;7
PHILIPS;7
PROSEGUR;8
RANDSTAD;8
RATP;4
RENAULT;7
RHODIA;6
RICOH;5
S.N.C.F.;8
SAINT GOBAIN;12
SANOFI;6
SCHINDLER;9
SECURITAS;9
SFR;3
SIEMENS;7
SNCF;4
SOCIETE GENERALE;16
SOCOTEC;7
SOCRAM;6
SODEXO;6
SOFEMO;6
SOFINCO;7
SOGECAP;7
SOGEFINANCEMENT;15
SOGELEASE;9
SOGIMA;6
SOLENDI;7
SOPRA STERIA;12
SOPREMA;7
SUEZ;4
SUPER U;7
SURAVENIR;9
SWISS LIFE;10
SWISSLIFE;9
TF1;3
THALACAP;8
THELEM;6
TOTAL;5
TOYOTA;6
UCB;3
UGITECH;7
URSSAF;6
VALEO;5
VOLKSWAGEN;10
XEROX;5
YOPLAIT;7
YVES ROCHER;11
ZARA;4
SOGARA;6
SOGARAT;7
DALLOZ;6
LEXBASE;7
LEXISNEXIS;10
DOCTRINE;8
WOLTERS KLUWER;14
SPRINGER;8
U SHIN;6
360LEARNING;11
ACCORHOTELS;11
AEROPOSTALE;11
AEROSPATIALE MATRA;18
AIRTAG;6
ALCATEL LUCENT;14
ALES GROUPE;11
AMAURY SPORT ORGANISATION;25
ANOVO;5
AREVA;5
ARIANEGROUP;11
ARIANESPACE;11
ARKANE STUDIOS;14
ASTRIUM;7
AT INTERNET;11
ATISREAL;8
ATOS;4
AUCHAN;6
BABOLAT;7
BACCARAT;8
BANQUE DE L'INDOCHINE;21
BEL GROUP;9
BNP PARIBAS;11
BOLLORE;7
BOUYGUES;8
BRITTANY FERRIES;16
BUGATTI AUTOMOBILES;19
BUZZINBEES;10
CANAL+;6
CAPGEMINI;9
CARTIER;7
CHANEL;6
CHANTELLE;9
CHRISTIAN DIOR;14
CITROEN;7
CMA CGM;7
COM ONE GROUP;13
CREDIT COMMERCIAL DE FRANCE;27
CREDIT FONCIER DE FRANCE;24
CRITEO;6
DANONE;6
DASSAULT AVIATION;17
DASSAULT GROUP;14
DASSAULT SYSTEMES;17
DECATHLON GROUP;15
DEXIA;5
DIPTYQUE;8
EDITIONS PHILIPPE AMAURY;24
EISENBERG PARIS;15
ELF AQUITAINE;13
ELIOR GROUP;11
ESSILOR;7
EUTELSAT;8
FNAC;4
GALERIES LAFAYETTE;18
GAMELOFT;8
GANDI;5
GAUMONT;7
GENSET;6
GETLINK;7
GROUPE BPCE;11
GROUPE BULL;11
GROUPE CASINO;13
GROUPE PSA;10
HACHETTE;8
HAVAS;5
HERMES;6
HUTCHINSON;10
ILIAD;5
INFOGRAMES;10
JCDECAUX;8
JC DECAUX;9
KERING;6
LABORATOIRES PIERRE FABRE;25
LACOSTE;7
LACTALIS;8
LAFARGE;7
LAFUMA;6
LAGARDERE;9
LANCOME;7
ZEBRE;5
LOOK;4
VUITTON;7
LVMH;4
MANDRIVA;8
MARITIMA FERRIES;16
MATRA MARCONI SPACE;19
MATRA;5
MAVIC;5
MC2 FRANCE;10
MICHELIN;8
MICROIDS;8
MONTAGUT;8
MOONSCOOP GROUP;15
NAVAL GROUP;11
NICOX;5
NORAUTO;7
OXBOW;5
PARROT;6
PATHE;5
PENTALOG;8
PERNOD RICARD;13
PUBLICIS;8
QUANTIC DREAM;13
REXEL;5
RHONE POULENC;13
SAFRAN;6
SAGEM;5
SALOMON GROUP;13
SCHNEIDER ELECTRIC;18
SDV INTERNATIONAL LOGISTICS;27
SEPHORA;7
SIGFOX;6
SNECMA;6
SOCIETE BIC;11
SOGETI;6
TECHNICOLOR;11
TECHNIP;7
THALES;6
THEAM;5
